Place_Name,Google_Maps_Link
Studio Alam Gamplong,"https://www.google.com/maps/place/Gamplong+Studio+Alam/@-7.8057936,110.2367304,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7af9ff6dd01d45:0x43db2ec637a30b5d!8m2!3d-7.8057936!4d110.2367304!16s%2Fg%2F11b7_1sr2h?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Watu Lumbung,"https://www.google.com/maps/search/Watu+Lumbung/@-8.1860204,110.700279,14z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Air Terjun Kedung Pedut,"https://www.google.com/maps/place/Kedung+Pedut+Waterfall/@-7.7699875,110.1210707,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aefcb98e324b9:0x417b7b093fdf367f!8m2!3d-7.7699875!4d110.1210707!16s%2Fg%2F11clgcfjzw?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Puncak Kebun Buah Mangunan,"https://www.google.com/maps/place/Kebun+Buah+Mangunan/@-7.9413718,110.4247345,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5366aaaaaaab:0x11765ecd87201338!8m2!3d-7.9413718!4d110.4247345!16s%2Fg%2F11dyxbkz1w?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Desa Wisata Gamplong,"https://www.google.com/maps/place/Desa+Wisata+Gamplong/@-7.809838,110.234748,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7afb0070fa1635:0x56ea0924915b9a10!8m2!3d-7.809838!4d110.234748!16s%2Fg%2F11y5jpptqq?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Kawasan Wisata Sosrowijayan,"https://www.google.com/maps/place/Kawasan+wisata+Sosrowijayan/@-7.7916235,110.361956,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5826a47f080b:0xdb58b86128b08e29!8m2!3d-7.7916235!4d110.361956!16s%2Fg%2F11bzwm4vjh?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Grojogan Watu Purbo Bangunrejo,"https://www.google.com/maps/place/Grojogan+Watu+Purbo/@-7.6307204,110.3407695,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a61a211fa698d:0x1582552d652e1c6f!8m2!3d-7.6307204!4d110.3407695!16s%2Fg%2F11gj73df0s?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Wisata Alam Kalibiru,"https://www.google.com/maps/place/Wisata+Kalibiru/@-7.8074219,110.1292682,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aeff7861e0b91:0x5604e4ced3f4227e!8m2!3d-7.8074219!4d110.1292682!16s%2Fg%2F11b7jz25fr?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Jogja Exotarium,"https://www.google.com/maps/search/Jogja+Exotarium/@-7.7294047,110.3590976,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Puncak Gunung Api Purba - Nglanggeran,"https://www.google.com/maps/search/Puncak+Gunung+Api+Purba+-+Nglanggeran/@-7.8405554,110.545,14z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Bendung Lepen,"https://www.google.com/maps/place/Bendhung+Lepen/@-7.8312214,110.3941377,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a575796e0e4d5:0x65bc00150955aeab!8m2!3d-7.8312214!4d110.3941377!16s%2Fg%2F11fks916ng?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Bunker Kaliadem Merapi,"https://www.google.com/maps/place/Bunker+Kaliadem+Merapi/@-7.5828014,110.4476823,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a66afbed3ead3:0x400208ebbdc0d806!8m2!3d-7.5828014!4d110.4476823!16s%2Fg%2F11bxc7kbbn?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
